Palabras de 3 caracteres
Casos encontrados: 27
Simbolo = ACBAB  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = BAAAA  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = CCBBA  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = BAAAC  cantidad de apariciones = 6.0   probabilidad = 0.003  Cantidad informacion = 5.287709822868154 unidades de orden 3
Simbolo = CCBBC  cantidad de apariciones = 15.0   probabilidad = 0.0075  Cantidad informacion = 4.453666055721684 unidades de orden 3
Simbolo = CCBBB  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
Simbolo = BACBA  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = CBBAC  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = CBBAB  cantidad de apariciones = 13.0   probabilidad = 0.0065  Cantidad informacion = 4.583922056966818 unidades de orden 3
Simbolo = CBBAA  cantidad de apariciones = 6.0   probabilidad = 0.003  Cantidad informacion = 5.287709822868154 unidades de orden 3
Simbolo = AACCC  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = AACCB  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = BACBB  cantidad de apariciones = 12.0   probabilidad = 0.006  Cantidad informacion = 4.656780069296696 unidades de orden 3
Simbolo = ACBCB  cantidad de apariciones = 15.0   probabilidad = 0.0075  Cantidad informacion = 4.453666055721684 unidades de orden 3
Simbolo = AACCA  cantidad de apariciones = 2.0   probabilidad = 0.001  Cantidad informacion = 6.287709822868153 unidades de orden 3
Simbolo = BACBC  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = ACBCA  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = ACACA  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = CBAAB  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = CBAAA  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = ACACC  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = BABBC  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
Simbolo = ACACB  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = BABBA  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = BABBB  cantidad de apariciones = 16.0   probabilidad = 0.008  Cantidad informacion = 4.394920562153781 unidades de orden 3
Simbolo = CBAAC  cantidad de apariciones = 6.0   probabilidad = 0.003  Cantidad informacion = 5.287709822868154 unidades de orden 3
Simbolo = ACABC  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = BAABC  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = ACBBB  cantidad de apariciones = 12.0   probabilidad = 0.006  Cantidad informacion = 4.656780069296696 unidades de orden 3
Simbolo = ACBBC  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = BAABB  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = BAABA  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = CCBAC  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = CCBAB  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = CCBAA  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = BABCA  cantidad de apariciones = 3.0   probabilidad = 0.0015  Cantidad informacion = 5.9186395764396105 unidades de orden 3
Simbolo = ABBAA  cantidad de apariciones = 2.0   probabilidad = 0.001  Cantidad informacion = 6.287709822868153 unidades de orden 3
Simbolo = ABBAC  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = BABCC  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = BABCB  cantidad de apariciones = 12.0   probabilidad = 0.006  Cantidad informacion = 4.656780069296696 unidades de orden 3
Simbolo = ABBAB  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = CBABA  cantidad de apariciones = 12.0   probabilidad = 0.006  Cantidad informacion = 4.656780069296696 unidades de orden 3
Simbolo = CBABB  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = CBABC  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = BCBCB  cantidad de apariciones = 13.0   probabilidad = 0.0065  Cantidad informacion = 4.583922056966818 unidades de orden 3
Simbolo = BCBCC  cantidad de apariciones = 14.0   probabilidad = 0.007  Cantidad informacion = 4.516466073706731 unidades de orden 3
Simbolo = BBBCC  cantidad de apariciones = 15.0   probabilidad = 0.0075  Cantidad informacion = 4.453666055721684 unidades de orden 3
Simbolo = BBBCB  cantidad de apariciones = 17.0   probabilidad = 0.0085  Cantidad informacion = 4.339737653277044 unidades de orden 3
Simbolo = BBBCA  cantidad de apariciones = 12.0   probabilidad = 0.006  Cantidad informacion = 4.656780069296696 unidades de orden 3
Simbolo = CBCBC  cantidad de apariciones = 13.0   probabilidad = 0.0065  Cantidad informacion = 4.583922056966818 unidades de orden 3
Simbolo = CBCBB  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = CBCBA  cantidad de apariciones = 16.0   probabilidad = 0.008  Cantidad informacion = 4.394920562153781 unidades de orden 3
Simbolo = CBACC  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = CBACA  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = CBACB  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = BBBBA  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = BBBBC  cantidad de apariciones = 13.0   probabilidad = 0.0065  Cantidad informacion = 4.583922056966818 unidades de orden 3
Simbolo = BBBBB  cantidad de apariciones = 16.0   probabilidad = 0.008  Cantidad informacion = 4.394920562153781 unidades de orden 3
Simbolo = CBCCC  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = CBCCB  cantidad de apariciones = 16.0   probabilidad = 0.008  Cantidad informacion = 4.394920562153781 unidades de orden 3
Simbolo = CBCCA  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = CCABB  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = CCABA  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = CCABC  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = ABBCC  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
Simbolo = BCABA  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = ABBCB  cantidad de apariciones = 14.0   probabilidad = 0.007  Cantidad informacion = 4.516466073706731 unidades de orden 3
Simbolo = ABCCB  cantidad de apariciones = 6.0   probabilidad = 0.003  Cantidad informacion = 5.287709822868154 unidades de orden 3
Simbolo = ABCCA  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = ABCCC  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = ABACC  cantidad de apariciones = 12.0   probabilidad = 0.006  Cantidad informacion = 4.656780069296696 unidades de orden 3
Simbolo = BBBAB  cantidad de apariciones = 16.0   probabilidad = 0.008  Cantidad informacion = 4.394920562153781 unidades de orden 3
Simbolo = BBBAA  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = BCBAB  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = BCBAC  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
Simbolo = BCBAA  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = BBBAC  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = BCAAC  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = BCAAA  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = CCCBA  cantidad de apariciones = 6.0   probabilidad = 0.003  Cantidad informacion = 5.287709822868154 unidades de orden 3
Simbolo = CCCBB  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = BCAAB  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = CCCBC  cantidad de apariciones = 15.0   probabilidad = 0.0075  Cantidad informacion = 4.453666055721684 unidades de orden 3
Simbolo = BBAAC  cantidad de apariciones = 6.0   probabilidad = 0.003  Cantidad informacion = 5.287709822868154 unidades de orden 3
Simbolo = BBAAB  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = BBAAA  cantidad de apariciones = 6.0   probabilidad = 0.003  Cantidad informacion = 5.287709822868154 unidades de orden 3
Simbolo = CCACA  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = CCAAC  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = CCAAB  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = CCAAA  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = ABBBC  cantidad de apariciones = 14.0   probabilidad = 0.007  Cantidad informacion = 4.516466073706731 unidades de orden 3
Simbolo = BCACB  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = ABBBB  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = BCACA  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = ABBBA  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = ABCBC  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = ABCBB  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = BCBCA  cantidad de apariciones = 10.0   probabilidad = 0.005  Cantidad informacion = 4.822736302150226 unidades de orden 3
Simbolo = ABCBA  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = ABACB  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = ABACA  cantidad de apariciones = 6.0   probabilidad = 0.003  Cantidad informacion = 5.287709822868154 unidades de orden 3
Simbolo = ABABB  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
Simbolo = ABABC  cantidad de apariciones = 7.0   probabilidad = 0.0035  Cantidad informacion = 5.147395827278189 unidades de orden 3
Simbolo = BCBBA  cantidad de apariciones = 13.0   probabilidad = 0.0065  Cantidad informacion = 4.583922056966818 unidades de orden 3
Simbolo = BCBBB  cantidad de apariciones = 20.0   probabilidad = 0.01  Cantidad informacion = 4.191806548578769 unidades de orden 3
Simbolo = BCBBC  cantidad de apariciones = 9.0   probabilidad = 0.0045  Cantidad informacion = 4.918639576439611 unidades de orden 3
Simbolo = BCABB  cantidad de apariciones = 11.0   probabilidad = 0.0055  Cantidad informacion = 4.735981237795473 unidades de orden 3
Simbolo = CCCAA  cantidad de apariciones = 4.0   probabilidad = 0.002  Cantidad informacion = 5.656780069296696 unidades de orden 3
Simbolo = BCABC  cantidad de apariciones = 14.0   probabilidad = 0.007  Cantidad informacion = 4.516466073706731 unidades de orden 3
Simbolo = ABBCA  cantidad de apariciones = 5.0   probabilidad = 0.0025  Cantidad informacion = 5.453666055721683 unidades de orden 3
Simbolo = CCCAB  cantidad de apariciones = 8.0   probabilidad = 0.004  Cantidad informacion = 5.025850315725238 unidades de orden 3
