key: reina  value: 105536
key: sabe  value: 105568
key: viÌ?a  value: 105504
key: valor  value: 105952
key: presto  value: 105920
key: Ya  value: 105888
key: mostrarse  value: 102624
key: deÌ?  value: 102560
key: Panza  value: 102528
key: Clara  value: 102592
key: esperar  value: 105856
key: paz  value: 105696
key: cuaÌ?n  value: 105600
key: finalmente,  value: 105632
key: CapiÌ?tulo  value: 105664
key: miÌ?o,  value: 106240
key: fueron  value: 106272
key: campo  value: 106304
key: siempre  value: 106336
key: maÌ?s,  value: 104864
key: vida  value: 104832
key: veniÌ?an  value: 104896
key: Quijote;  value: 104928
key: nuevos  value: 106400
key: escudero,  value: 106368
key: sabiÌ?a  value: 106432
key: aventura  value: 106464
key: eso,  value: 104704
key: toca  value: 104736
key: cabo  value: 104800
key: partes  value: 104768
key: nuestra  value: 61728
key: venir  value: 61760
key: debajo  value: 61792
key: lejos  value: 61696
key: jumento  value: 77088
key: entonces,  value: 63616
key: hombres  value: 63648
key: oyoÌ?  value: 77152
key: oler  value: 77120
key: Caballero  value: 93120
key: mas  value: 93152
key: dado  value: 63712
key: pareciÌ?a  value: 63680
key: gusto  value: 77056
key: primera  value: 91456
key: ninguna  value: 91488
key: entrar  value: 86080
key: malos  value: 86112
key: Mambrino,  value: 92256
key: carro  value: 62656
key: historia  value: 62592
key: hora  value: 91424
key: Triste  value: 62624
key: luego,  value: 91392
key: envidia  value: 92192
key: dentro  value: 86048
key: voy  value: 92160
key: bondad  value: 86016
key: nunca  value: 86368
key: quedar  value: 86336
key: quiero  value: 93088
key: -Â¡Oh  value: 93056
key: puestos  value: 92224
key: carro,  value: 86304
key: teniÌ?an  value: 86272
key: decir,  value: 62688
key: cuyo  value: 92672
key: valeroso  value: 92704
key: mala  value: 72352
key: esa  value: 72320
key: cuyas  value: 79488
key: Clara;  value: 79520
key: eso  value: 92768
key: alma.  value: 92736
key: ojos,  value: 79552
key: encantado,  value: 72416
key: podido  value: 72384
key: Dios,  value: 62176
key: manos,  value: 62144
key: asioÌ?  value: 79584
key: tomar  value: 62080
key: silencio  value: 62112
key: tantos  value: 89664
key: espada,  value: 89696
key: Quijote.  value: 63968
key: demaÌ?s  value: 63936
key: espacio  value: 87488
key: creo  value: 54304
key: calidad  value: 54272
key: sobresalto,  value: 87520
key: amo  value: 89600
key: munÌƒeca,  value: 89632
key: caminantes  value: 63872
key: voz,  value: 54368
key: todos,  value: 54336
key: sabia  value: 63904
key: discreta  value: 87424
key: Sancho;  value: 87456
key: nada  value: 78080
key: cuales  value: 78112
key: estoy  value: 78176
key: destos  value: 78144
key: caminos  value: 63456
key: negocio  value: 56544
key: paso  value: 63424
key: pueden  value: 63392
key: camino  value: 63360
key: pidioÌ?  value: 56512
key: senÌƒores  value: 56448
key: llamar  value: 56480
key: fuese  value: 67872
key: manera,  value: 67936
key: canoÌ?nigo  value: 67904
key: falta  value: 67840
key: estuvo  value: 72832
key: senÌƒores,  value: 72896
key: llegoÌ?  value: 72928
key: pendencias,  value: 72864
key: vuestros  value: 68320
key: dejar  value: 68288
key: imaginacioÌ?n  value: 81600
key: salteador  value: 81632
key: instante  value: 55648
key: espada  value: 55616
key: agujero,  value: 55584
key: caballo  value: 58944
key: alzoÌ?  value: 58976
key: pesar  value: 55552
key: hijo,  value: 79744
key: cosa,  value: 58912
key: Cardenio,  value: 58880
key: camaradas,  value: 79808
key: modo,  value: 79840
key: dio,  value: 78432
key: grandes  value: 79776
key: e  value: 80352
key: miÌ?a,  value: 81568
key: dareÌ?  value: 576
key: vida,  value: 608
key: acabar  value: 512
key: bueyes,  value: 544
key: princesa  value: 192
key: malas  value: 224
key: deÌ?l  value: 129360
key: pena  value: 129344
key: ellos,  value: 160
key: somos  value: 128
key: rostro  value: 129376
key: quietud  value: 129392
key: Maritornes,  value: 127808
key: -Por  value: 127824
key: remedio  value: 130080
key: venga  value: 130096
key: Luscinda  value: 127840
key: veraÌ?s  value: 127856
key: tus  value: 130048
key: quitoÌ?  value: 130064
key: luz  value: 130400
key: nadie  value: 130416
key: tengo,  value: 130384
key: Sancho-;  value: 130368
key: daba  value: 4928
key: conviene  value: 4960
key: vestido  value: 4896
key: caso,  value: 256
key: determinaron  value: 4864
key: principal  value: 288
key: tornaron  value: 320
key: vieron  value: 352
key: queriÌ?a.  value: 32
key: caballeros,  value: 0
key: libertad  value: 64
key: vuelta  value: 96
key: siendo  value: 129552
key: contrario  value: 129536
key: tres  value: 129568
key: Micomicona  value: 129584
key: tierra,  value: 127744
key: seis  value: 127760
key: ellas  value: 130144
key: uno,  value: 130160
key: acaÌ?  value: 127792
key: ella,  value: 127776
key: primero  value: 130128
key: imposible  value: 130112
key: contento  value: 736
key: fuera,  value: 704
key: dijere  value: 672
key: alta  value: 640
key: digaÌ?is  value: 130352
key: queda  value: 130336
key: pidiendo  value: 130320
key: unos  value: 130304
key: valentiÌ?a  value: 129872
key: diciendo  value: 129856
key: pendencia,  value: 127952
key: aposento,  value: 127936
key: madre  value: 127984
key: consiste  value: 127968
key: alliÌ?,  value: 129904
key: van  value: 129888
key: ansiÌ?  value: 480
key: locura  value: 128352
key: efeto,  value: 129824
key: canoÌ?nigo,  value: 128368
key: fin,  value: 129840
key: presencia  value: 416
key: vos  value: 384
key: anÌƒos  value: 448
key: entroÌ?  value: 127360
key: Dulcinea  value: 127376
key: cabeza  value: 127408
key: -Â¡Ay,  value: 127392
key: plaÌ?tica,  value: 128320
key: muchas  value: 128336
key: haga  value: 129600
key: hago  value: 129616
key: sucesos  value: 129648
key: podraÌ?  value: 129632
key: dicen  value: 129984
key: deciÌ?a  value: 130000
key: companÌƒiÌ?a  value: 130032
key: doÌ?nde  value: 130016
key: dice,  value: 130656
key: viese  value: 130672
key: debiÌ?a  value: 128960
key: adelante,  value: 128976
key: muchos  value: 129008
key: deÌ?l,  value: 128992
key: grave  value: 130624
key: hecho,  value: 130640
key: felice  value: 129808
key: estilo  value: 129792
key: llegar  value: 130496
key: preguntar  value: 130512
key: libre  value: 130544
key: haÌ?bito  value: 130528
key: dejaba  value: 127440
key: memoria  value: 127424
key: diÌ?a;  value: 127472
key: ese  value: 127456
key: puertas  value: 4736
key: ponerme  value: 4768
key: lanzoÌ?n,  value: 4800
key: darle  value: 4832
key: vieÌ?ndose  value: 1792
key: vez,  value: 3616
key: della,  value: 3584
key: ponerse  value: 3680
key: encantos  value: 3648
key: asno  value: 1888
key: encantador  value: 1856
key: hijo  value: 1824
key: vivir  value: 130592
key: deseos  value: 130608
key: tuÌ?,  value: 992
key: votos  value: 960
key: voces,  value: 896
key: nuestros  value: 928
key: gloria  value: 130560
key: enemigo  value: 130576
key: ocasioÌ?n  value: 128944
key: cuadrillero  value: 128928
key: mayor  value: 128896
key: corazoÌ?n  value: 128912
key: pasar  value: 130752
key: mundo;  value: 130768
key: verse  value: 130800
key: discrecioÌ?n  value: 130784
